,jobId,state
263,38664552,Victoria
264,38664969,Victoria
265,38667725,Victoria
266,38675867,Western Australia
267,38676374,Victoria
268,38680411,New South Wales
269,38683694,New South Wales
270,38686065,Victoria
271,38687490,Queensland
272,38687491,Queensland
273,38688485,Victoria
274,38689890,Victoria
275,38692371,Victoria
276,38693720,New South Wales
277,38700507,South Australia
278,38702873,New South Wales
279,38702874,New South Wales
280,38704207,New South Wales
281,38706970,New South Wales
282,38707083,New South Wales
283,38707473,South Australia
284,38708722,South Australia
285,38709784,New South Wales
286,38710913,Victoria
287,38710980,New South Wales
288,38711931,Queensland
289,38715031,Western Australia
290,38715500,Victoria
291,38718897,Victoria
292,38719373,New South Wales
293,38719428,New South Wales
294,38721871,Victoria
295,38722126,Victoria
296,38725000,New South Wales
297,38729084,New South Wales
298,38735235,New South Wales
299,38736094,Victoria
300,38736412,Victoria
301,38736413,Victoria
302,38736414,Victoria
303,38736952,Victoria
304,38739169,South Australia
305,38741831,New South Wales
306,38744632,New South Wales
307,38744785,New South Wales
308,38746607,New South Wales
309,38749804,New South Wales
310,38749967,New South Wales
311,38750108,Victoria
312,38750307,Victoria
313,38750624,Victoria
314,38752630,Victoria
315,38752749,Western Australia
316,38756852,Victoria
317,38758986,Victoria
318,38760432,New South Wales
319,38762470,Victoria
320,38764886,New South Wales
321,38766803,Western Australia
322,38767227,Australian Capital Territory
323,38767887,Victoria
324,38768173,New South Wales
325,38770092,Australian Capital Territory
326,38770787,Victoria
327,38774798,New South Wales
328,38777022,New South Wales
329,38789722,New South Wales
330,38795577,Queensland
331,38796138,New South Wales
332,38796139,New South Wales
333,38796140,New South Wales
334,38796392,New South Wales
335,38798441,New South Wales
336,38798970,New South Wales
337,38799031,Victoria
338,38803844,Victoria
339,38804349,Victoria
340,38805430,New South Wales
341,38805721,New South Wales
342,38805741,Victoria
343,38805840,Victoria
344,38808767,New South Wales
345,38815307,New South Wales
346,38817802,Australian Capital Territory
347,38818174,Western Australia
348,38818195,New South Wales
349,38818833,New South Wales
350,38828933,New South Wales
351,38829396,New South Wales
352,38830644,Victoria
353,38830645,Victoria
354,38830649,Victoria
355,38831823,Queensland
356,38835912,New South Wales
357,38838937,New South Wales
358,38839338,New South Wales
359,38839410,New South Wales
360,38839638,New South Wales
361,38847502,New South Wales
362,38848619,Victoria
363,38849034,South Australia
364,38849329,Victoria
365,38851805,New South Wales
366,38852611,New South Wales
367,38852613,New South Wales
368,38853850,New South Wales
369,38855545,New South Wales
370,38855864,New South Wales
371,38857057,New South Wales
372,38861824,New South Wales
373,38866965,New South Wales
374,38867666,South Australia
375,38868348,New South Wales
376,38869070,New South Wales
377,38869528,Queensland
378,38873206,New South Wales
379,38874128,Queensland
380,38874136,Victoria
381,38875704,Victoria
382,38876502,New South Wales
383,38879547,Victoria
384,38882017,Victoria
385,38883306,New South Wales
386,38885317,New South Wales
387,38885501,Queensland
388,38886857,New South Wales
389,38886867,New South Wales
390,38890886,Queensland
391,38892320,Queensland
392,38893132,New South Wales
393,38893158,New South Wales
394,38894337,New South Wales
395,38897424,New South Wales
396,38897816,New South Wales
397,38899737,Western Australia
